Employee_ID,Age,Department,Job_Role,Education,Monthly_Income_AED,Years_At_Company,Job_Satisfaction,Work_Life_Balance,OverTime,Distance_From_Home_km,Attrition
EMP0001,31,HR,Analyst,PhD,11267.0,7.1,2,3,No,13,No
EMP0002,58,Finance,Developer,Bachelor,5532.0,1.3,2,2,No,27,No
EMP0003,37,Marketing,Executive,High School,3000.0,7.5,3,1,No,20,No
EMP0004,22,Finance,Consultant,Bachelor,6840.0,5.1,2,1,No,17,No
EMP0005,50,IT,Developer,PhD,6723.0,3.0,2,4,No,4,No
EMP0006,47,HR,Consultant,PhD,9786.0,0.5,2,2,No,12,No
EMP0007,51,Sales,Executive,Master,5163.0,3.2,4,2,No,20,No
EMP0008,51,Finance,Executive,Master,9440.0,13.4,3,4,No,20,No
EMP0009,30,Sales,Analyst,Bachelor,12736.0,13.4,3,1,No,18,No
EMP0010,31,Operations,Analyst,Master,5471.0,4.5,1,2,Yes,16,No
EMP0011,22,IT,Manager,PhD,7426.0,9.1,2,1,Yes,14,No
EMP0012,58,IT,Executive,Bachelor,10283.0,1.8,2,3,Yes,2,Yes
EMP0013,38,Operations,Manager,High School,7792.0,3.9,1,2,Yes,13,No
EMP0014,58,Finance,Manager,Bachelor,6368.0,4.5,4,3,No,2,No
EMP0015,33,Finance,Developer,PhD,7264.0,0.5,3,3,No,24,No
EMP0016,46,Operations,Consultant,Master,4587.0,1.0,2,3,No,20,No
EMP0017,55,Finance,Executive,Master,5321.0,0.6,3,2,Yes,7,No
EMP0018,30,Finance,Consultant,Master,6543.0,13.5,2,1,No,6,No
EMP0019,58,Sales,Consultant,Bachelor,3016.0,0.5,4,3,Yes,28,No
EMP0020,36,Finance,Analyst,High School,3000.0,19.0,4,1,No,26,No
EMP0021,35,Sales,Manager,Master,8857.0,1.4,1,3,No,17,No
EMP0022,27,HR,Manager,Master,5869.0,0.6,3,3,No,16,No
EMP0023,35,Marketing,Executive,High School,3000.0,2.9,2,2,Yes,22,No
EMP0024,47,Sales,Analyst,Master,5869.0,7.6,2,2,No,5,No
EMP0025,35,Finance,Analyst,Bachelor,10090.0,2.9,1,4,No,11,Yes
EMP0026,50,IT,Consultant,Bachelor,7680.0,10.2,1,4,No,20,No
EMP0027,44,Finance,Developer,Bachelor,8199.0,1.6,4,2,No,4,Yes
EMP0028,52,Sales,Executive,Bachelor,9358.0,3.2,1,4,No,7,No
EMP0029,52,IT,Manager,Master,3000.0,7.6,3,2,Yes,1,No
EMP0030,47,Operations,Executive,Master,3751.0,9.5,3,4,Yes,11,No
EMP0031,34,IT,Manager,Bachelor,3000.0,3.1,2,1,No,7,No
EMP0032,23,Marketing,Developer,Bachelor,10126.0,5.3,4,1,Yes,7,No
EMP0033,53,HR,Developer,Bachelor,6041.0,7.4,3,3,No,5,No
EMP0034,58,HR,Consultant,Bachelor,4309.0,5.0,2,4,No,13,No
EMP0035,49,HR,Analyst,Bachelor,3000.0,1.1,3,1,No,13,No
EMP0036,40,Marketing,Executive,Bachelor,10329.0,9.4,2,4,No,27,No
EMP0037,51,Marketing,Developer,Master,9484.0,9.1,1,4,No,27,No
EMP0038,35,HR,Manager,High School,5882.0,2.6,2,3,No,29,No
EMP0039,44,IT,Consultant,Bachelor,8749.0,5.4,3,2,No,13,No
EMP0040,45,Finance,Analyst,Bachelor,11096.0,2.8,2,3,No,13,No
EMP0041,52,Finance,Developer,Master,10504.0,4.3,3,1,No,28,No
EMP0042,33,Sales,Manager,Master,5078.0,3.7,4,2,Yes,21,No
EMP0043,50,Marketing,Developer,Master,8068.0,0.7,3,1,No,19,Yes
EMP0044,32,IT,Consultant,Master,5588.0,14.2,3,4,No,20,No
EMP0045,46,Sales,Analyst,Master,11229.0,1.3,3,3,No,9,No
EMP0046,31,Finance,Executive,Bachelor,10609.0,10.7,3,4,No,2,No
EMP0047,37,HR,Analyst,Bachelor,3000.0,1.4,3,2,Yes,17,No
EMP0048,40,HR,Developer,Master,7542.0,1.4,4,1,No,27,No
EMP0049,38,Finance,Analyst,PhD,3000.0,5.9,1,2,No,18,Yes
EMP0050,29,Marketing,Developer,High School,13313.0,10.2,1,4,Yes,9,No
EMP0051,46,Operations,Manager,Master,13698.0,1.0,2,1,Yes,16,No
EMP0052,33,Sales,Executive,Master,9493.0,3.0,2,1,No,11,No
EMP0053,39,Finance,Executive,Master,6371.0,1.0,3,4,No,23,No
EMP0054,29,Marketing,Manager,Master,6608.0,20.5,4,1,Yes,6,No
EMP0055,33,IT,Executive,High School,5730.0,3.4,2,3,No,4,No
EMP0056,50,IT,Executive,Master,7137.0,8.8,1,4,No,22,No
EMP0057,55,Operations,Consultant,Bachelor,4395.0,2.4,3,1,No,4,Yes
EMP0058,42,Marketing,Analyst,High School,6509.0,0.5,2,2,No,15,No
EMP0059,54,HR,Developer,Master,7975.0,1.7,4,3,No,7,No
EMP0060,46,IT,Manager,High School,13178.0,14.2,3,2,Yes,6,Yes
EMP0061,27,IT,Executive,Bachelor,3000.0,0.5,2,1,No,9,No
EMP0062,26,Marketing,Manager,Bachelor,8426.0,5.5,4,4,No,13,No
EMP0063,29,IT,Consultant,Bachelor,9799.0,18.8,4,2,No,22,No
EMP0064,46,HR,Executive,Bachelor,6176.0,2.5,1,2,Yes,27,Yes
EMP0065,46,HR,Consultant,Bachelor,9564.0,1.9,2,4,No,21,No
EMP0066,56,IT,Developer,Bachelor,5025.0,1.4,2,4,Yes,16,No
EMP0067,37,Operations,Analyst,Master,7450.0,2.5,1,4,Yes,5,No
EMP0068,35,Marketing,Developer,Bachelor,10404.0,0.9,3,2,No,23,No
EMP0069,46,IT,Analyst,Bachelor,8515.0,1.9,3,3,No,2,Yes
EMP0070,37,IT,Executive,Bachelor,6952.0,3.5,4,2,No,23,No
EMP0071,28,Sales,Executive,Bachelor,12656.0,3.2,3,4,Yes,5,Yes
EMP0072,43,Finance,Manager,Master,9430.0,4.6,2,1,No,23,No
EMP0073,44,Marketing,Manager,Bachelor,7584.0,8.6,2,2,Yes,19,Yes
EMP0074,33,IT,Developer,Bachelor,7751.0,1.8,2,1,No,11,No
EMP0075,34,Finance,Developer,Master,14185.0,16.2,1,3,No,4,Yes
EMP0076,50,Finance,Analyst,Master,9056.0,0.9,2,3,No,2,No
EMP0077,54,HR,Consultant,High School,10579.0,12.3,3,4,No,1,No
EMP0078,37,HR,Manager,Master,7643.0,3.4,1,2,Yes,2,No
EMP0079,55,IT,Executive,Bachelor,10681.0,2.3,3,4,Yes,28,No
EMP0080,47,Finance,Executive,High School,11314.0,2.3,4,1,No,9,No
EMP0081,31,IT,Executive,Master,8341.0,1.8,3,4,Yes,26,No
EMP0082,59,Operations,Consultant,Bachelor,7096.0,2.7,4,1,No,11,No
EMP0083,22,HR,Analyst,Bachelor,13906.0,0.5,4,3,No,7,Yes
EMP0084,40,Sales,Developer,Master,6461.0,0.5,2,3,No,22,No
EMP0085,45,HR,Analyst,Bachelor,6495.0,1.5,2,3,Yes,27,No
EMP0086,25,Finance,Manager,Bachelor,6644.0,3.7,3,3,Yes,28,No
EMP0087,51,IT,Consultant,High School,3902.0,1.1,4,2,No,6,No
EMP0088,38,Operations,Developer,PhD,5337.0,3.3,1,3,No,27,No
EMP0089,42,HR,Executive,Master,7860.0,4.3,1,1,No,26,Yes
